order_id,product_id,quantity
1,701,5
1,721,4
1,128,4
2,773,1
2,713,2
2,404,1
2,840,4
2,986,1
3,898,4
3,60,2
3,504,5
4,529,1
4,325,3
4,473,2
5,204,5
5,739,5
5,301,1
5,688,4
5,580,2
6,613,2
6,451,5
6,214,3
6,271,1
6,189,4
7,724,3
7,46,1
7,520,3
7,169,4
7,357,5
8,928,1
8,40,2
8,695,4
8,817,1
8,573,5
9,981,5
9,261,2
9,339,4
9,223,1
10,422,5
10,800,4
10,287,5
10,477,5
10,450,4
11,100,4
11,365,3
11,981,1
12,483,4
12,952,2
12,344,4
13,677,2
14,749,5
14,156,4
15,204,3
15,359,4
15,6,3
15,264,4
16,769,5
16,235,1
16,262,3
17,685,5
17,769,4
17,894,3
17,12,1
18,922,3
18,219,2
18,467,2
18,655,1
18,200,1
19,935,3
19,730,3
19,58,2
19,693,3
20,836,5
20,261,4
20,735,4
20,864,2
21,671,5
22,982,5
22,596,4
22,992,4
23,862,1
24,477,5
24,335,3
24,424,5
25,99,3
25,52,3
25,750,1
26,371,4
26,828,5
26,253,3
26,168,4
26,962,1
27,936,4
27,790,5
27,59,3
27,245,3
27,538,3
28,837,5
29,797,3
29,46,2
29,552,3
29,443,2
30,182,3
30,959,5
30,826,2
30,67,4
31,227,3
31,437,3
32,802,1
33,964,4
33,282,4
34,335,5
34,865,3
34,1,3
35,844,1
35,665,5
35,140,4
35,647,4
36,781,4
36,141,1
37,602,3
37,636,5
38,874,4
38,269,1
39,898,1
39,838,5
39,401,2
39,80,3
40,751,1
40,923,5
40,272,3
40,404,2
41,117,5
41,597,1
41,813,2
41,232,3
41,472,1
42,98,4
42,863,4
42,461,2
42,220,1
43,423,1
44,486,3
44,679,1
44,648,3
44,216,5
45,637,4
45,253,5
45,345,2
45,897,3
45,711,2
46,224,2
47,396,3
48,347,4
48,35,5
49,982,4
49,342,4
49,882,3
49,2,2
49,150,2
50,407,2
51,773,5
51,26,5
51,339,2
52,303,1
52,523,5
53,24,5
53,301,3
54,700,5
54,688,4
54,485,4
54,218,2
54,461,2
55,349,5
55,957,1
55,450,5
55,658,1
55,999,1
56,992,3
57,306,5
57,131,4
58,722,2
58,685,5
58,510,5
59,621,3
59,680,5
59,510,1
59,746,1
59,245,3
60,822,2
60,148,3
61,931,4
61,512,2
61,564,5
61,538,2
62,877,4
62,417,5
62,850,4
62,464,2
62,618,1
63,807,2
63,300,2
63,381,3
63,753,5
64,218,1
65,591,3
65,225,2
65,442,3
65,164,2
66,365,5
66,909,2
66,703,4
67,413,4
67,540,2
68,938,2
68,603,3
68,391,1
68,166,5
69,926,1
69,136,1
70,130,4
70,457,4
70,245,5
70,983,5
71,302,2
