order_id,customer_id,order_date
1,34272,2023-04-06
2,9729,2023-05-25
3,18178,2023-11-01
4,45546,2023-11-15
5,5676,2023-01-07
6,24388,2023-05-16
7,42118,2023-10-03
8,24078,2023-03-17
9,24744,2023-04-06
10,30413,2023-09-22
11,32722,2023-06-10
12,20195,2023-07-19
13,536,2023-01-10
14,9369,2023-05-07
15,1717,2023-11-02
16,694,2023-04-07
17,49984,2023-12-18
18,25969,2023-02-24
19,43723,2023-01-15
20,2056,2023-12-10
21,3484,2023-07-21
22,19242,2023-05-25
23,10332,2023-12-12
24,45283,2023-08-22
25,13206,2023-07-23
26,33874,2023-09-01
27,2648,2023-10-24
28,32190,2023-04-20
29,9448,2023-03-20
30,1916,2023-09-24
31,22690,2023-03-02
32,44079,2023-11-18
33,41779,2023-10-21
34,1420,2023-10-24
35,23376,2023-03-07
36,45801,2023-04-17
37,26680,2023-06-25
38,39024,2023-10-22
39,44338,2023-11-28
40,17528,2023-07-13
41,29969,2023-08-26
42,47440,2023-05-20
43,31025,2023-11-09
44,22033,2023-10-20
45,23073,2023-12-12
46,41258,2023-12-26
47,23961,2023-11-18
48,25902,2023-11-26
49,27227,2023-07-28
50,40081,2023-06-20
51,5358,2023-07-20
52,1930,2023-07-23
53,35551,2023-01-21
54,13146,2023-03-07
55,31297,2023-02-27
56,13062,2023-09-26
57,2357,2023-11-15
58,2383,2023-12-09
59,5434,2023-04-20
60,12101,2023-03-14
61,39920,2023-10-22
62,21271,2023-06-21
63,15279,2023-12-10
64,28136,2023-04-22
65,49588,2023-07-24
66,22079,2023-02-09
67,48968,2023-08-10
68,26523,2023-02-23
69,282,2023-08-15
70,30519,2023-10-19
71,38143,2023-05-12
72,48637,2023-09-05
73,17482,2023-07-02
74,21917,2023-03-11
75,10596,2023-03-09
76,27145,2023-04-03
77,14750,2023-11-25
78,15262,2023-02-13
79,26621,2023-03-03
80,26963,2023-11-09
81,48707,2023-03-27
82,7934,2023-08-24
83,25275,2023-04-19
84,5211,2023-12-14
85,28238,2023-09-28
86,21288,2023-05-25
87,5102,2023-11-11
88,45195,2023-06-26
89,3115,2023-01-24
90,42012,2023-11-20
91,28509,2023-12-17
92,18452,2023-03-10
93,33555,2023-12-20
94,49431,2023-04-26
95,6979,2023-05-03
96,45018,2023-11-16
97,1728,2023-05-08
98,11060,2023-10-12
99,36652,2023-02-16
100,14631,2023-09-15
101,7456,2023-12-20
102,8931,2023-04-08
103,14764,2023-06-07
104,10495,2023-09-06
105,20454,2023-08-14
106,47098,2023-12-06
107,33782,2023-03-17
108,16072,2023-01-14
109,35896,2023-03-06
110,15935,2023-10-17
111,31430,2023-06-08
112,19521,2023-09-26
113,35377,2023-12-14
114,12493,2023-03-24
115,26614,2023-10-08
116,10442,2023-01-23
117,14919,2023-12-10
118,10758,2023-02-23
119,27934,2023-10-16
